YEAR,JURISDICTION,Sum(FINES),Sum(Total),Offences_per_10k
2010,VIC,54728,3978322,137.5655364
2010,SA,14139,1130920,125.0221059
2010,NSW,51104,4791490,106.6557584
2010,QLD,33013,3132341,105.3940168
2010,TAS,3735,363291,102.8101439
2010,ACT,2407,287134,83.8284564
2010,NT,998,132561,75.2860947
2010,WA,11705,1566465,74.72238448
2011,VIC,52630,4060582,129.611962
2011,SA,13402,1138713,117.6942741
2011,NSW,46714,4893688,95.45765893
2011,QLD,30389,3240939,93.76603509
2011,TAS,3241,367296,88.23945809
2011,ACT,2284,294174,77.64112396
2011,WA,10485,1605793,65.29484186
2011,NT,729,133035,54.79760965
2012,VIC,61497,4135725,148.6970241
2012,WA,17822,1623226,109.7937071
2012,SA,11623,1151821,100.9097768
2012,QLD,28548,3301004,86.48277918
2012,NSW,42900,4984973,86.05864064
2012,TAS,2141,365359,58.59989763
2012,ACT,1722,301841,57.04990376
2012,NT,722,138077,52.28966446
2013,VIC,52452,4228230,124.0519082
2013,SA,12560,1183292,106.1445527
2013,QLD,27998,3374824,82.96136332
2013,TAS,2914,365295,79.77114387
2013,WA,14563,1854446,78.53019177
2013,NT,1058,146404,72.26578509
2013,NSW,33514,5060762,66.22322883
2013,ACT,1356,307834,44.04971511
2014,SA,11886,1196554,99.33525775
2014,VIC,41448,4310687,96.15172709
2014,TAS,3256,366231,88.90563606
2014,WA,14377,1896560,75.80566921
2014,QLD,25068,3384271,74.07208229
2014,NSW,34952,5142396,67.96831671
2014,ACT,1115,314244,35.48198215
2014,NT,517,150653,34.31727214
2015,SA,12446,1206194,103.1840649
2015,TAS,3273,370296,88.38874846
2015,WA,16666,1928430,86.42263396
2015,VIC,33598,4384609,76.62712912
2015,NSW,37989,5245755,72.41855557
2015,QLD,23048,3432171,67.15283125
2015,NT,492,152268,32.31145086
2015,ACT,873,312267,27.95684462
2016,SA,11153,1219494,91.45596452
2016,TAS,3191,379305,84.12754907
2016,WA,14926,1952879,76.43074661
2016,NSW,38918,5337947,72.90817987
2016,VIC,27925,4474502,62.40917984
2016,QLD,17213,3505706,49.09995305
2016,NT,535,154405,34.64913701
2016,ACT,1120,328377,34.10713905
2017,SA,11252,1232106,91.32331147
2017,WA,16718,1965031,85.07753822
2017,NSW,41020,5439711,75.40841784
2017,TAS,2738,380215,72.01188801
2017,VIC,29293,4565595,64.16031207
2017,QLD,15043,3580836,42.00974298
2017,ACT,1299,324439,40.03834311
2017,NT,546,156344,34.92299033
2018,WA,17697,1977775,89.47933916
2018,VIC,32458,4665764,69.56631326
2018,NSW,37653,5529185,68.09864383
2018,SA,8471,1246015,67.98473534
2018,TAS,2614,387773,67.41057268
2018,NT,861,157296,54.73756485
2018,ACT,1399,330574,42.32032767
2018,QLD,12828,3657643,35.07176616
2019,VIC,36694,4748539,77.27429426
2019,SA,7567,1258216,60.14070716
2019,WA,11850,1992380,59.47660587
2019,TAS,2355,398452,59.10373144
2019,NT,760,156344,48.61075577
2019,NSW,25463,5606175,45.41955968
2019,ACT,1098,329637,33.30936758
2019,QLD,11580,3719766,31.1309905
2020,NSW,151725,5648327,268.6193629
2020,SA,6325,1271958,49.72648468
2020,TAS,1966,406437,48.37158034
2020,VIC,21231,4807706,44.16035423
2020,WA,7889,2013336,39.18372294
2020,ACT,812,326495,24.87021241
2020,NT,380,157831,24.0763855
2020,QLD,4823,3806397,12.67077501
2021,NSW,174082,5775889,301.3942962
2021,TAS,2328,416263,55.92618128
2021,QLD,18547,3888986,47.6910948
2021,SA,4799,1294479,37.07283007
2021,VIC,15562,4895143,31.79069539
2021,WA,4909,2036282,24.10766289
2021,NT,309,159208,19.40857243
2021,ACT,544,326454,16.66390977
2022,NSW,207697,5960216,348.4722701
2022,QLD,121639,3973138,306.1534737
2022,TAS,1973,423676,46.56860431
2022,VIC,19428,4968836,39.09970061
2022,SA,4583,1329139,34.48096851
2022,WA,6346,2078263,30.53511514
2022,NT,302,159063,18.98618786
2022,ACT,374,334900,11.16751269
2023,NSW,216042,6040358,357.6642312
2023,QLD,80292,4051724,198.1674961
2023,VIC,49546,5097911,97.18882891
2023,TAS,2428,426528,56.92475054
2023,SA,5769,1340060,43.05031118
2023,WA,3592,2132257,16.84599933
2023,NT,205,161361,12.70443292
2023,ACT,288,341420,8.43535821
2024,ACT,27125,347892,779.6959976
2024,NSW,161997,6166226,262.7166114
2024,QLD,75334,4154952,181.3113605
2024,VIC,55075,5260408,104.6972022
2024,TAS,2815,429865,65.48567574
2024,SA,4605,1362548,33.79697449
2024,WA,3731,2194816,16.99914708
2024,NT,244,163416,14.93121849
